"SKU","DTC US","DTC CA","TikTok Shop","Amazon 1P","Home Depot US","Home Depot CA","Best Buy","Amazon 3P","Costco","Costco.com","ACE","Walmart 1P","New Channel 2","Modified","Modified By"
"WSCALX-W","0.0215",,"0.0097",,,,,"0.0607","0.15",,,"0.15",,"10/30/2025 6:42 AM","Simon Zhu"
"WYZEWMV2","0.0134","0.0121","0.0464",,,,,,"0.15",,,"0.15",,"10/30/2025 6:42 AM","Simon Zhu"
"WSP2W","0.0153","0.0049","0.0591",,,,"0.0508",,"0.15",,,"0.15",,"10/30/2025 6:42 AM","Simon Zhu"
"WLCKB1","0.0347","0.434","0.0181","0.025","0.03",,"0.0129","0.1","0.15",,,"0.15",,"10/30/2025 6:42 AM","Simon Zhu"
"WLPA19C4PK","0.0056",,"0.0367",,,,,,"0.15",,,"0.15",,"10/30/2025 6:42 AM","Simon Zhu"
"WYZECOP_RB2PK","0.0202",,"0.0709",,"0.0204","0.0204",,,"0.15",,,"0.15",,"10/30/2025 6:42 AM","Simon Zhu"
"WYZECOPB","0.003","0.0406","0.0193","0.0472","0.0204","0.0204","0.0654",,"0.15",,,"0.15",,"10/30/2025 6:42 AM","Simon Zhu"
"WLPA19V2-2PK","0.002","0.0185","0.0196","0.0218",,,,,"0.15",,,"0.15",,"10/30/2025 6:42 AM","Simon Zhu"
"WYZEC4BKX2",,,,"0.0377",,,,,"0.15",,,"0.15",,"10/30/2025 6:42 AM","Simon Zhu"
"WSCALS","0.0117",,"0.0156",,,,,"0.0607","0.15",,,"0.15",,"10/30/2025 6:42 AM","Simon Zhu"
"WYZEC4WHCP62PK",,,,,,,,,"0.15","0.0704",,"0.15",,"10/30/2025 6:42 AM","Simon Zhu"
"WYZECFLP","0.0211",,"0.0296","0.0682","0.1562","0.1562","0.0995",,"0.15",,,"0.15",,"10/30/2025 6:42 AM","Simon Zhu"
"WLPA19C2PK","0.0025",,"0.0385",,,,,,"0.15",,,"0.15",,"10/30/2025 6:42 AM","Simon Zhu"
"Scale_Elite","0.0201",,"0.0066",,,,,"0.0607","0.15",,,"0.15",,"10/30/2025 6:42 AM","Simon Zhu"
"wyzecpan4","0.0064","0.0085","0.0101","0.0476","0.0176","0.0176","0.0459",,"0.15",,,"0.15",,"10/30/2025 6:42 AM","Simon Zhu"
"WPLCK1","0.0347","0.0347","0.0181","0.05","0.05",,"0.0129","0.1","0.15",,,"0.15",,"10/30/2025 6:42 AM","Simon Zhu"
"WYZEOPAV3","0.0168","0.0155","0.0324",,,,,,"0.15",,,"0.15",,"10/30/2025 6:42 AM","Simon Zhu"
"WYZEC-DUO-WH","0.0064","0.0085","0.0101","0.0476","0.0176","0.0176","0.0459",,"0.15",,,"0.15",,"10/30/2025 6:42 AM","Simon Zhu"
"WVOD3","0.032","0.032","0.046","0.055","0.055","0.0204","0.0654",,"0.15",,,"0.15",,"2/9/2026 11:16 AM","Marian Pan"
"WYZEBDB","0.0143","0","0.0201","0.03","0.03",,"0.0877",,"0.15",,,"0.15",,"10/30/2025 6:42 AM","Simon Zhu"
"WVDB-DUO-BL","0.032","0.032","0.046","0.055","0.062","0.03","0.03",,"0.15",,,"0.12",,"12/16/2025 11:26 AM","Marian Pan"
"WYZEC-BC","0.032","0.032","0.046","0.055","0.062",,"0.055",,"0.15",,,"0.12",,"2/9/2026 11:36 AM","Marian Pan"
"WYZELS2","0.0332","0.0403","0.0451","0.05",,,,,"0.15",,,"0.15",,"10/30/2025 6:43 AM","Simon Zhu"
"WL_SCLUB","0.01",,"0.03",,,,,"0.1","0.15",,,"0.15",,"10/30/2025 6:43 AM","Simon Zhu"
"WLCKB2","0.07","0.07","0.07","0.07","0.07","0.07","0.07","0.07","0.15",,,"0.15",,"10/30/2025 6:43 AM","Simon Zhu"
"WLPA19C2PK v3","0.0025","0.0025","0.0385","0.05","0.05",,,,"0.15",,,"0.15",,"10/30/2025 6:43 AM","Simon Zhu"
"WYZECPANOG","0.0064","0.0085","0.0101","0.0476","0.0176","0.0176","0.0459",,"0.15",,,"0.15",,"10/30/2025 6:43 AM","Simon Zhu"
"WYZEC-BC-AB","0.03","0.03","0.0385","0.05",,,,,"0.15",,,"0.15",,"12/3/2025 4:03 PM","Simon Zhu"
"WYZEC-BCP","0.036","0.036","0.05","0.058","0.067",,,"0.05","0.15",,,"0.15",,"11/20/2025 9:48 AM","Meng Cheng"
"WYZESNAPCAM","0.012",,"0.0136","0.015",,,"0.015",,"0.15",,,"0.15",,"10/30/2025 6:43 AM","Simon Zhu"
"WSHB1","0.0381","0.0222","0.0511","0.0218",,,,,"0.15",,,"0.15",,"10/30/2025 6:43 AM","Simon Zhu"
"WYZESLS31","0.0381","0.0222","0.0511","0.0218",,,,,"0.15",,,"0.15",,"10/30/2025 6:43 AM","Simon Zhu"
"WSMS2","0.0381","0.0222","0.0511","0.0218",,,,,"0.15",,,"0.15",,"10/30/2025 6:43 AM","Simon Zhu"
"WSCS3PK","0.0381","0.0222","0.0511","0.0218",,,,,"0.15",,,"0.15",,"10/30/2025 6:43 AM","Simon Zhu"
"WSKP1","0.0381","0.0222","0.0511","0.0218",,,,,"0.15",,,"0.15",,"10/30/2025 6:43 AM","Simon Zhu"
"WSLSP2","0.0381","0.0222","0.0511","0.0218",,,,,"0.15",,,"0.15",,"10/30/2025 6:43 AM","Simon Zhu"
"WLPPO1-1","0.01","0.01","0.05","0.03","0.03",,"0.03",,"0.15",,,"0.15",,"10/30/2025 6:43 AM","Simon Zhu"
"WLPA19CV2-2PK","0.0025",,"0.0385","0.03",,,,,"0.15",,,"0.15",,"10/30/2025 6:43 AM","Simon Zhu"
"WLPA19CV2-4PK","0.0025",,"0.0385","0.03",,,,,"0.15",,,"0.15",,"10/30/2025 6:43 AM","Simon Zhu"
"WYZEWCWH","0.03","0.03","0.04","0.07","0.06","0.06","0.06","0.07","0.15",,,"0.15",,"11/19/2025 8:38 AM","Simon Zhu"
"WYZEC_DUO_PAN_Tele","0.0064","0.0085","0.0101","0.0476","0.0176","0.0176","0.0459",,"0.15",,,"0.15",,"10/30/2025 6:43 AM","Simon Zhu"
"WYZEC_DUO_PAN_Pro","0.0064","0.0085","0.0101","0.0476","0.0176","0.0176","0.0459",,"0.15",,,"0.15",,"10/30/2025 6:43 AM","Simon Zhu"
"WYZEDASH","0.0064","0.0085","0.0101","0.0476","0.0176","0.0176","0.0459",,"0.15",,,"0.15",,"10/30/2025 6:43 AM","Simon Zhu"
"WYZEDASH","0.05","0.05","0.08","0.1",,,,,"0.15",,,"0.15",,"10/30/2025 6:43 AM","Simon Zhu"
"WYZEMN","0.0063","0.0034","0.009","0.0377",,,"0.0371","0.0513","0.15",,,"0.15",,"10/30/2025 6:43 AM","Simon Zhu"
"WYZEC-BC-2PK","0.03","0.03","0.03","0.05","0.05",,"0.05",,"0.15",,,"0.15",,"10/30/2025 6:43 AM","Simon Zhu"
"Scale Lite","0.0117",,"0.0156",,,,,"0.0607","0.15",,,"0.15",,"10/30/2025 6:43 AM","Simon Zhu"
"WYZEC4_4K","0.0063","0.0034","0.009","0.0377",,,"0.0371","0.0513","0.15",,,"0.15",,"10/30/2025 6:43 AM","Simon Zhu"
"WYZECPAN_LITE","0.032","0.032","0.042","0.055","0.062","0.062","0.055",,"0.15",,,"0.15",,"2/9/2026 12:27 PM","Marian Pan"
"WDCDOBL","0.032","0.032","0.046","0.055","0.062","0.03","0.03",,"0.15",,,"0.12",,"12/18/2025 12:10 AM","Simon Zhu"
"WYZEBVD","0.032","0","0.046","0.055","0.062",,"0.055",,"0.15",,,"0.12",,"2/6/2026 12:00 AM","Marian Pan"
"Bulb Cam Pan","0.032","0.032","0.046","0.055","0.062",,"0.055",,"0.15",,,"0.12",,"2/9/2026 12:03 PM","Simon Zhu"
"Wyze OG v2","0.032","0.032","0.046","0.055","0.062",,"0.055",,"0.15",,,"0.12",,"2/11/2026 1:43 AM","Marian Pan"
"Battery Cam Solar","0.032","0.032","0.046","0.055","0.062","0.062","0.055",,"0.15",,,"0.12",,"2/13/2026 11:30 AM","Marian Pan"
